Designator,Val,Package,MidX,MidY,Rotation,Layer
"C1","10uF 50V","C_1206_3216Metric",25.442200,13.314400,0.000000,top
"C2","10uF 50V","C_1206_3216Metric",10.059500,13.479500,180.000000,top
"C3","0.1uF","C_0603_1608Metric",17.187200,10.368000,0.000000,top
"C4","0.1uF 50V","C_0402_1005Metric",15.333000,15.448000,180.000000,top
"C5","0.47uF","C_0603_1608Metric",21.302000,32.339000,-90.000000,top
"C6","0.1uF","C_0603_1608Metric",20.159000,14.686000,0.000000,top
"C7","0.01uF","C_0603_1608Metric",6.595500,32.847000,180.000000,top
"C8","1000pF","C_0603_1608Metric",26.280500,36.403000,180.000000,top
"C9","1000pF","C_0603_1608Metric",26.331100,37.927000,180.000000,top
"C10","1000pF","C_0603_1608Metric",8.474900,37.723800,0.000000,top
"C11","1000pF","C_0603_1608Metric",8.474900,36.123600,0.000000,top
"C12","0.01uF","C_0603_1608Metric",29.684000,33.228000,0.000000,top
"C13","100uF 35V","CP_Elec_6.3x7.7",32.500000,12.500000,270,top
"C14","0.1uF","C_0603_1608Metric",6.700000,12.000000,90.000000,top
"FID1","Fiducial","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop",1.744000,37.546000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop",1.744000,1.620000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop",34.764000,37.546000,0.000000,top
"FID4","Fiducial","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop",35.050000,1.620000,0.000000,top
"J2","Conn_01x04_Male","Molex-SL-4POS",17.619000,35.437800,180.000000,top
"R1","22R","R_0603_1608Metric",6.570000,31.323000,180.000000,top
"R2","0R051","R_2512_6332Metric",6.750000,27.894000,180.000000,top
"R3","22R","R_0603_1608Metric",29.658500,31.704000,0.000000,top
"R4","0R051","R_2512_6332Metric",29.250000,28.148000,0.000000,top
"U1","TMC2660","TMC2660",18.101600,24.007800,180.000000,top
"U2","74LVC1G06","SOT-353_SC-70-5",13.936000,10.749000,0,top
"U3","24LC02","TDFN-8-1EP_3x2mm_P0.5mm_EP1.56x1.45mm",4.600000,12.300000,-90.000000,top
