Ref,Val,Package,PosX,PosY,Rot,Side
"C2","10uF 50V","C_1206_3216Metric",25.800000,29.400000,0.000000,top
"C3","0.022uF 50V","C_0603_1608Metric",11.000000,28.600000,180.000000,top
"C4","10uF 50V","C_1206_3216Metric",4.800000,30.400000,180.000000,top
"C5","100uV 35V","CP_Elec_6.3x7.7",33.000000,12.000000,-90.000000,top
"C6","0.1uF","C_0603_1608Metric",17.750000,16.250000,0.000000,top
"C7","0.1uF","C_0603_1608Metric",14.200000,30.300000,-90.000000,top
"C8","0.47uF","C_0805_2012Metric",12.500000,31.187500,90.000000,top
"C9","0.1uF 50V","C_0402_1005Metric",9.000000,24.600000,90.000000,top
"C10","0.1uF 50V","C_0402_1005Metric",25.700000,22.100000,90.000000,top
"C11","1000pF","C_0603_1608Metric",9.700000,30.800000,0.000000,top
"C12","1000pF","C_0603_1608Metric",17.000000,31.700000,90.000000,top
"C13","1000pF","C_0603_1608Metric",8.900000,32.500000,0.000000,top
"C14","1000pF","C_0603_1608Metric",19.200000,31.700000,90.000000,top
"C15","0.1uF 50V","C_0402_1005Metric",3.400000,22.315000,90.000000,top
"C16","0.1uF","C_0603_1608Metric",19.300000,10.250000,0.000000,top
"D1","SBRT5A50SA","D_SMA",32.750000,27.500000,180.000000,top
"F1","3A","Fuse_1206_3216Metric",32.950000,31.650000,-90.000000,top
"FID1","Fiducial","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop",1.744000,37.546000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop",35.100000,1.600000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop",34.764000,37.546000,0.000000,top
"FID4","Fiducial","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop",1.600000,1.600000,0.000000,top
"R1","0R15","R_1206_3216Metric",23.500000,23.000000,90.000000,top
"R2","0R15","R_1206_3216Metric",5.550000,23.250000,90.000000,top
"U1","TMC2130","tmc5130-nc",14.750000,22.500000,90.000000,top
"U2","24LC02","TDFN-8-1EP_3x2mm_P0.5mm_EP1.56x1.45mm",19.900000,12.350000,180.000000,top
